issue_id,state,user,duration_time,closed_at,created_at,comments_num
1, closed,user0,1726985,1425328850,1423601865,1
2, closed,user0,1726928,1425328887,1423601959,1
3, closed,user0,4177176,1427780001,1423602825,1
4, closed, user1,49363,1424368331,1424318968,1
5, closed, user1,49265,1424368280,1424319015,1
6, closed, user1,1096866,1425415921,1424319055,1
7, closed, user1,1011191,1425330267,1424319076,1
8, closed, user1,1096334,1425415489,1424319155,2
9, closed, user1,3695886,1428015151,1424319265,1
10, closed, user1,49515,1424370722,1424321207,1
11, closed, user1,3691216,1428012490,1424321274,1
12, closed, user1,3761792,1428083853,1424322061,1
13, closed, user1,3849871,1428172156,1424322285,0
14, closed, user1,3849316,1428172156,1424322840,0
15, closed, user1,4716656,1429039721,1424323065,0
16, closed, user1,4715746,1429039721,1424323975,0
17, closed, user1,939227,1425263552,1424324325,3
18, closed, user1,3685091,1428009615,1424324524,1
19, closed, user1,3847574,1428172156,1424324582,1
20, closed, user1,3508142,1427832769,1424324627,0
21, closed, user1,4714953,1429039721,1424324768,1
22, closed,user0,3285123,1427668951,1424383828,1
23, closed, user2,2607872,1427871599,1425263727,1
24, closed, user2,2667306,1427931451,1425264145,1
25, closed, user1,45742,1425329511,1425283769,3
26, closed, user1,2844992,1428172334,1425327342,1
27, closed, user2,155,1425330130,1425329975,1
28, closed, user2,89260,1425419293,1425330033,0
29, closed, user1,62203,1425415097,1425352894,1
30, closed,user0,16424,1425419097,1425402673,1
31, closed,user0,64,1425419061,1425418997,1
32, closed, user1,77416,1426124390,1426046974,0
33, closed, user2,11103,1427673064,1427661961,3
34, closed, user1,74478,1427853308,1427778830,0
35, closed, user1,57153,1427836570,1427779417,9
36, closed,user0,5258,1427837274,1427832016,0
37, closed,user0,4713,1427837274,1427832561,3
38, closed, user1,92461,1427931352,1427838891,3
39, closed, user1,32270,1427871598,1427839328,5
40, closed, user3,49285,1427931352,1427882067,0
41, closed,user0,97081,1428014769,1427917688,2
42, closed, user1,2239,1427931450,1427929211,1
43, closed,user0,71043,1428084760,1428013717,2
44, closed, user3,15908,1428043908,1428028000,1
45, closed, user3,867606,1429039936,1428172330,1
46, closed, user2,868624,1429041543,1428172919,0
47, closed, user2,868568,1429041528,1428172960,0
48, closed, user3,3285,1428261178,1428257893,1